parent_company,brand,primary_brand_db,category,hq_country,notes
Nestlé,nesquik,nesquik,powder_drinks,CH,Chocolate powder and RTD dairy variants; also used as cereal brand via CPW
Nestlé,milo,milo,powder_drinks,CH,Malted chocolate powder; energy/nutrition positioning varies by market
Nestlé,nido,nido,powder_drinks,CH,Milk powder brand; strong in emerging markets
Nestlé,carnation,carnation,powder_drinks,CH,Evaporated milk and milk powder/creamer products; market scope varies
Nestlé,coffee mate,coffee mate,powder_drinks,CH,Non-dairy creamer/powder beverage adjacent; include only if creamers are in scope
Nestlé,kitkat,kitkat,snacks,CH,Global Nestlé brand except US where Hershey manufactures under license
Nestlé,aero,aero,snacks,CH,Chocolate confectionery brand; market scope varies
Nestlé,smarties,smarties,snacks,CH,Chocolate confectionery; not US Smarties candy
Nestlé,quality street,quality street,snacks,CH,Confectionery assortment; heritage/seasonal positioning
Nestlé,cailler,cailler,snacks,CH,Swiss chocolate brand; relevant for Switzerland/Europe
Nestlé,lion,lion,snacks,CH,Chocolate bar; also cereal brand via CPW in some markets
Nestlé,toll house,toll house,snacks,CH,Baking morsels/cookie dough; US-oriented snack/baking brand
Cereal Partners Worldwide,nesquik cereal,nesquik cereal,breakfast_cereals,CH,Nestlé-branded cereal via CPW; kids/chocolate positioning
Cereal Partners Worldwide,fitness,fitness,breakfast_cereals,CH,Nestlé-branded cereal via CPW; adult/wellness positioning
Cereal Partners Worldwide,chocapic,chocapic,breakfast_cereals,CH,Nestlé-branded cereal via CPW; kids/chocolate positioning
Cereal Partners Worldwide,cheerios,cheerios,breakfast_cereals,CH,CPW/Nestlé-branded in many non-US markets; General Mills brand in US
Cereal Partners Worldwide,lion cereal,lion cereal,breakfast_cereals,CH,Nestlé-branded cereal via CPW; indulgent cereal extension
Cereal Partners Worldwide,shreddies,shreddies,breakfast_cereals,CH,Nestlé-branded cereal in several markets via CPW
Cereal Partners Worldwide,clusters,clusters,breakfast_cereals,CH,Nestlé-branded cereal via CPW; market scope varies
Cereal Partners Worldwide,gold flakes,gold flakes,breakfast_cereals,CH,Nestlé-branded cereal via CPW; market scope varies
General Mills,cheerios,cheerios,breakfast_cereals,US,Core US cereal brand; CPW/Nestlé-branded in many non-US markets
General Mills,lucky charms,lucky charms,breakfast_cereals,US,Core US cereal brand
General Mills,cinnamon toast crunch,cinnamon toast crunch,breakfast_cereals,US,Core US cereal brand
General Mills,wheaties,wheaties,breakfast_cereals,US,Heritage cereal; sports/performance associations
General Mills,trix,trix,breakfast_cereals,US,Kids cereal brand
General Mills,cocoa puffs,cocoa puffs,breakfast_cereals,US,Kids/chocolate cereal brand
General Mills,nature valley,nature valley,bars,US,Granola/snack bars; sustained energy/protein variants
General Mills,fiber one,fiber one,bars,US,Fibre-led snack bar and cereal brand
General Mills,larabar,larabar,bars,US,Minimal-ingredient fruit/nut bar brand
General Mills,annies,annies,snacks,US,Organic/natural snacks and meals; kid/family positioning
General Mills,yoplait,yoplait,dairy,US,US yogurt business; European Yoplait ownership is different
Mars,snickers,snickers,snacks,US,Core chocolate bar; protein variant exists in some markets
Mars,mars bar,mars bar,snacks,US,Core chocolate bar; market recipes/positioning vary
Mars,twix,twix,snacks,US,Core chocolate biscuit bar
Mars,bounty,bounty,snacks,US,Chocolate/coconut bar; market scope varies
Mars,m&m's,m&m's,snacks,US,Core chocolate confectionery
Mars,skittles,skittles,snacks,US,Sugar confectionery
Mars,kind,kind,bars,US,Nut/snack bars; acquired by Mars
Mars,nature's bakery,nature's bakery,bars,US,Fig bars and soft-baked snacks; Mars-owned
