primary_brand,vegan_claim,organic_claim,dairy_free_claim,natural_claim,sustainability_halo,heritage_claim,protein_claim,probiotic_claim,no_added_sugar,comparative_claim,notes
oatly,True,True,True,False,True,True,False,False,False,False,"Totally vegan. Climate footprint on pack. The Original. OCR fails on stylized packaging."
innocent,False,False,False,True,True,False,False,False,False,False,"Natural ingredients. B Corp certified. Brand narrative health-washing."
nakd,False,False,False,True,False,False,False,False,False,False,"100% natural. Nothing else. Natural sugar loophole via fruit concentrates."
kellogg's,False,False,False,True,True,True,True,False,True,True,"Systematic fortification + protein + fibre + no artificial. Gender targeting (Special K). Comparative (-30% sugar). Heritage: The Original."
gerble,False,True,False,True,True,False,False,False,True,True,"VITALITÉ concept. SANS HUILE DE PALME universal. Fibre systematic. Comparative -32% to -46% sugar. Sport & Energie line. Engagé Cacao Durable."
belvita,False,False,False,True,False,False,True,False,True,True,"Core: 4 hours steady energy / slow release. 30% less sugars. Wholegrain + fibre tick-boxes. #1 cereal biscuit. Protein line (10g). OCR systematically poor."
actimel,False,False,False,False,False,False,False,True,True,False,"Immune positioning via vitamins B6+D + L.casei. EU Reg 432/2012 approved language. Kids: calcium. 0% variants: sugar-free. Maca flavour: adaptogen."
danone,False,False,True,False,False,False,True,True,True,False,"Portfolio: HiPRO/YoPRO (protein), Activia (probiotic), Taillefine (low fat), Danonino (kids no sugar), Alpro (dairy-free). Coordinated sub-brand claim architecture."
kind,False,False,True,False,False,False,True,False,False,True,"Signature clean label: ingredients you can see & pronounce. Protein 4-12g. Omega-3. Heart healthy almonds. Low glycemic. Gluten free. Clean label invisible to pipeline."
nature valley,False,False,False,True,False,False,True,False,False,True,"Sustained energy (not captured). Protein line (10g) captured. No artificial on multiple. 30% less sugar select. Wholegrain. OCR very poor."
emmi,True,False,True,False,False,False,True,True,True,False,"Two-tier: traditional yogurts (no claims) vs Energy Milk (protein+no sugar+vegan). Aktifit = probiotic+immune. PUR: 3 ingredients claim (sugar is #3). Athlete endorsement Caffè."
nestle,False,False,False,False,False,True,True,False,True,False,"Nesquik: OPTI-START/OPTI-DÉJ proprietary concepts. Milo: energy+vitamins. Chuckie: OPTI-GROW kids. KitKat: heritage. Cheerios: wholegrain+no artificial."
snickers,False,False,False,False,False,False,True,False,False,False,"Standard range: no claims. One protein variant only (HI PROTEIN 20g, LOW SUGAR). Low score analytically correct."
alpro,True,True,True,False,False,False,True,False,True,False,"Plant-based primary claim. HIGH PROTEIN soya line. Calcium+Vit D+B12 fortification. Omega-3 cooking range. SHHH NOT MILK = anti-dairy narrative (blind spot)."
u,False,False,False,False,False,False,False,False,True,False,"Intermarché private label. SANS SUCRES AJOUTÉS on 14/22 products (fruit purées). Pack prints disclaimer about natural fruit sugars — HT-1 loophole disclosed by regulation."
